qoi,param,block,source,mu_star,sigma,n
Lmin,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),1.9974310897145754e-6,5.81303163718596e-6,24
Lmin,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,1.5687624113019321e-6,6.198613218529374e-6,24
Lmin,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
Lmin,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,4.961550963107013e-6,1.4179174479840785e-5,24
Lmin,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",6.458858336979891e-6,2.0608370443489895e-5,24
Lmin,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,0.00019508305084764803,0.0002092022653617924,24
Lmin,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.0014962973138770569,0.0026202556704722083,24
Lmin,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,9.39382702739824e-8,3.1111802457101395e-7,24
Lmin,detach_scale,biofilm,detachment-law scale (relative to nominal),5.9539667906405e-7,1.4544595935261039e-6,24
Mb,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.002977759886170228,0.005889032805263839,24
Mb,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,3.108901299113894e-6,7.04075865845027e-6,24
Mb,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,9.16805346208454e-5,0.00028170513270170833,24
Mb,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,6.239386496660789e-6,9.834085014497721e-6,24
Mb,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,2.1139535025472763e-7,6.340363749234784e-7,24
Mb,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,4.447385441451579e-5,9.157334437173397e-5,24
Mb,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.00011800487731541592,0.00028549309374121986,24
Mb,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,4.4986773652889106e-8,1.0783249050956029e-7,24
Mb,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,3.609731054810922e-7,1.1263494167489222e-6,24
Mb,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,1.0994355481283052e-6,2.617795882105862e-6,24
Mb,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,2.816439443108465e-7,8.504693272621458e-7,24
Mb,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,6.079315410136911e-8,1.39741929920477e-7,24
Mb,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",3.641074108918754e-6,1.0688988609323875e-5,24
Mb,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),1.9776971298985597e-9,9.491243560327601e-9,24
Mb,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,5.513430585021992e-9,1.913985566489079e-8,24
Mb,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
Mb,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,8.263683800217757e-8,3.453775115103583e-7,24
Mb,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",4.1298552365259553e-7,8.843442634454943e-7,24
Mb,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,6.062017371783549e-7,2.144459274132964e-6,24
Mb,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.0009059479333965412,0.0019656600539018298,24
Mb,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,1.8036561996043332e-9,4.839981162429798e-9,24
Mb,detach_scale,biofilm,detachment-law scale (relative to nominal),2.4252553984522306e-10,5.320215269185128e-10,24
zb,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.15349683839368608,0.1278970235108413,24
zb,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,7.885871212728381e-5,0.0001621217941983483,24
zb,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,0.027159538614965756,0.03780122068243965,24
zb,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,0.009767393306762755,0.008733773636159872,24
zb,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,9.587016978378572e-6,1.4972889053033273e-5,24
zb,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,0.059513822728331285,0.06471008437793577,24
zb,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.03182850005569909,0.05801801632369401,24
zb,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,6.385849503057122e-6,1.2762140895196928e-5,24
zb,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,6.385473179579772e-6,1.0030791780052303e-5,24
zb,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,2.0113306152969118e-5,3.6657677614326105e-5,24
zb,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,3.3496556453910144e-6,5.478857592386506e-6,24
zb,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,1.1814524953007123e-6,2.6610279232094223e-6,24
zb,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",4.384284701361612e-5,6.127327937618592e-5,24
zb,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),6.879731950142424e-8,2.560651905828173e-7,24
zb,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,9.548241061903697e-7,3.0191383297209327e-6,24
zb,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
zb,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,2.437007502759797e-6,7.085708978619529e-6,24
zb,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",0.00019704126208306989,0.0005822491883189501,24
zb,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,3.461552904727489e-5,0.00010725873620016146,24
zb,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.00023036185073461456,0.0006154472237951049,24
zb,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,2.6859551159162417e-8,9.071880399252321e-8,24
zb,detach_scale,biofilm,detachment-law scale (relative to nominal),1.709109301776454e-7,3.7842165496441063e-7,24
pen,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.5100182149362477,0.36019707281977636,24
pen,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.020491803278688527,0.03884914570151542,24
pen,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,0.09335154826958107,0.17316168799482284,24
pen,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,0.03187613843351548,0.03919571051129901,24
pen,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,0.0,0.0,24
pen,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,0.1980874316939891,0.1649705909325134,24
pen,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.14571948998178505,0.34744618526961474,24
pen,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,0.0,0.0,24
pen,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,0.0,0.0,24
pen,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,0.002276867030965394,0.011154324876061845,24
pen,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,0.0,0.0,24
pen,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,0.0,0.0,24
pen,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",0.002276867030965394,0.011154324876061845,24
pen,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),0.0,0.0,24
pen,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,0.0,0.0,24
pen,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
pen,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,0.0,0.0,24
pen,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",0.0,0.0,24
pen,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,0.06830601092896176,0.1461396097935433,24
pen,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.0,0.0,24
pen,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,0.0,0.0,24
pen,detach_scale,biofilm,detachment-law scale (relative to nominal),0.0,0.0,24
o2pen,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.0,0.0,2
o2pen,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.0,0.0,9
o2pen,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,0.0,0.0,8
o2pen,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,0.0,0.0,12
o2pen,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,0.0,0.0,5
o2pen,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,0.0,0.0,8
o2pen,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.0,0.0,8
o2pen,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,0.0,0.0,4
o2pen,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,0.0,0.0,7
o2pen,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,0.0,0.0,8
o2pen,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,0.0,0.0,8
o2pen,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,0.0,0.0,10
o2pen,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",0.0,0.0,6
o2pen,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),0.0,0.0,7
o2pen,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,0.0,0.0,7
o2pen,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,8
o2pen,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,0.0,0.0,11
o2pen,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",0.0,0.0,8
o2pen,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,0.0,0.0,8
o2pen,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.0,0.0,7
o2pen,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,0.0,0.0,7
o2pen,detach_scale,biofilm,detachment-law scale (relative to nominal),0.0,0.0,8
o2dep,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.7788580572477516,0.6511380963696545,24
o2dep,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.0029937082653622854,0.0070258285108087465,24
o2dep,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,9.894327599080839e-5,0.00028437432440369114,24
o2dep,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,0.0001568508083296517,0.0002431867713442751,24
o2dep,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,1.0399539410562956e-6,1.9392981421608516e-6,24
o2dep,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,0.0014291575906278829,0.004680980946701977,24
o2dep,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.0019836599347568575,0.008688017519255816,24
o2dep,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,5.4725158688308705e-5,0.0001424978141676746,24
o2dep,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,0.0004403177682168022,0.001018073464258858,24
o2dep,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,0.0007543163010178558,0.0015334803982514226,24
o2dep,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,5.950415084605513e-5,0.00013336764271522727,24
o2dep,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,5.9902968660800283e-5,0.00018106287412273484,24
o2dep,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",0.0015737767814287542,0.002761238098886579,24
o2dep,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),2.672848540182423e-7,8.091775459911653e-7,24
o2dep,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,4.117462965318329e-6,1.0712505970620258e-5,24
o2dep,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
o2dep,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,0.00010327843691816819,0.0002976973153318853,24
o2dep,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",3.1828432290542044e-6,1.0599746127454535e-5,24
o2dep,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,0.00014645349044533878,0.0005277475938374397,24
o2dep,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.00467892232773211,0.014261501058553241,24
o2dep,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,2.592220947385722e-7,7.548791791931758e-7,24
o2dep,detach_scale,biofilm,detachment-law scale (relative to nominal),1.5999190290506686e-8,3.3832103048073955e-8,24
maxHET,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.10524454334484533,0.12588754228925533,24
maxHET,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.0030561681722729305,0.010253217821148899,24
maxHET,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,0.00411611225543138,0.013818201898642891,24
maxHET,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,0.0022358477972768557,0.004088751128611212,24
maxHET,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,1.0916571582774604e-5,3.200867762623949e-5,24
maxHET,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,0.032665010291940855,0.05799565785941489,24
maxHET,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.03195336635398993,0.09673520747871224,24
maxHET,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,2.2160272572722766e-5,5.6928250582123656e-5,24
maxHET,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,3.540976515231893e-7,5.479544179918955e-7,24
maxHET,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,0.007776236533253302,0.01465588945638024,24
maxHET,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,7.676932192485571e-6,1.5466178268756498e-5,24
maxHET,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,3.1032399163227112e-6,8.002956570949808e-6,24
maxHET,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",0.001716561801624426,0.004368898154719981,24
maxHET,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),1.511677869851045e-7,6.54156316671915e-7,24
maxHET,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,1.5259425881395247e-6,3.058355828195674e-6,24
maxHET,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
maxHET,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,1.2562400062025052e-6,4.456825586205431e-6,24
maxHET,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",2.6769950359674282e-5,7.06810425684597e-5,24
maxHET,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,0.015880853917003248,0.057241527182650395,24
maxHET,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.00017836463225786287,0.0006706579183714269,24
maxHET,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,1.4054928329678895e-7,5.388773707974995e-7,24
maxHET,detach_scale,biofilm,detachment-law scale (relative to nominal),1.316300037822444e-7,4.0392492769123067e-7,24
maxPHO,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.3905404072754481,0.4843209434092716,24
maxPHO,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.0035739079186934957,0.007497236424433677,24
maxPHO,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,7.349122531638133e-5,0.0003217953287584181,24
maxPHO,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,0.008358773077596362,0.01523800264313213,24
maxPHO,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,1.9229907220234766e-5,5.053415967520324e-5,24
maxPHO,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,0.12873431686486767,0.260269761991225,24
maxPHO,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.0002841863465620566,0.0012191258258196325,24
maxPHO,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,2.376004755447792e-5,5.56439190207752e-5,24
maxPHO,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,1.3375767147635708e-5,3.1124900536962616e-5,24
maxPHO,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,6.0369667186666026e-5,0.000252162158407651,24
maxPHO,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,6.953679192032326e-6,1.6695031265452235e-5,24
maxPHO,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,7.009395012292181e-6,1.738586188609795e-5,24
maxPHO,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",0.0015005488208410021,0.002339339741565097,24
maxPHO,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),2.800572484623405e-7,1.2700680752126703e-6,24
maxPHO,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,2.9247425259276977e-6,7.309319169507006e-6,24
maxPHO,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
maxPHO,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,5.223466390151766e-6,2.3943946224872996e-5,24
maxPHO,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",4.917998677174147e-7,1.115978477954441e-6,24
maxPHO,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,6.767245783345345e-6,1.9389003081520333e-5,24
maxPHO,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.00028846093035903264,0.0008428815398932687,24
maxPHO,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,4.70511168393492e-7,1.793513794702847e-6,24
maxPHO,detach_scale,biofilm,detachment-law scale (relative to nominal),4.1328683438594873e-7,1.0215459711738818e-6,24
attPAT,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,0.005862593979283605,0.011986504864492433,24
attPAT,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.00014509341054624902,0.0002428190634156321,24
attPAT,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,0.0013081117618266543,0.0021911730481523257,24
attPAT,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,9.09212200057592e-6,1.8385521469373577e-5,24
attPAT,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,6.80975735692265e-7,1.7235149535879694e-6,24
attPAT,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,0.00048363310415330666,0.0009784863776074908,24
attPAT,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),0.004022367507586558,0.012091404101770474,24
attPAT,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,3.7407092606205023e-7,9.680360955762158e-7,24
attPAT,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,1.6026496477408452e-8,3.284410069599149e-8,24
attPAT,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,2.522314810793198e-7,8.085802202441484e-7,24
attPAT,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,5.322081524363301e-7,1.6431305506158112e-6,24
attPAT,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,6.722885359692249e-9,1.6031582868968265e-8,24
